stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,Instructions.started,instructions.started,Instructions.stopped,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank_You_.started,thank_you.started,thank_you.stopped,Thank_You_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
65,0.5,1,80.79577370802872,,,,,80.78578270797152,80.79577370802872,81.28498170792591,81.28498170792591,81.28498170792591,81.58326824998949,82.28215454192832,right,1,1,1,0.9863323329482228,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
66,0.5,1,82.29011095792521,,,,,82.28267383296043,82.29011095792521,82.77941317,82.77941317,82.78344408294652,83.06681596,83.36516708298586,left,-1,1,1,0.583005374,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
67,0.5,1,83.37273041694425,,,,,83.36568124999758,83.37273041694425,83.86290629196446,83.86290629196446,83.86668729200028,84.15003488,84.56464487500489,right,1,1,1,0.6985744159901515,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
68,0.5,1,84.57185895799194,,,,,84.56504304194823,84.57185895799194,85.06293579202611,85.06293579202611,85.06701091700234,85.34995283302851,85.71935699996538,left,-1,1,1,0.6514577909838408,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
69,0.5,1,85.72926912503317,,,,,85.71975504199509,85.72926912503317,86.21819820802193,86.21819820802193,86.21819820802193,86.51293674996123,86.71487095800694,right,1,1,1,0.4882257910212502,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
70,0.5,1,86.72190150001552,,,,,86.71529237,86.72190150001552,87.21293475001585,87.21293475001585,87.21703125000931,87.50030179193709,87.83487558295019,left,-1,1,1,0.6183529580011964,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
71,0.5,1,87.84640308294911,,,,,87.83522891695611,87.84640308294911,88.33404158300254,88.33404158300254,88.33404158300254,88.62973954202607,88.89903979201335,right,1,0,0,0.5523256659507751,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
72,0.5,1.5,88.90665641694795,,,,,88.89959408296272,88.90665641694795,89.39639704,89.39639704,89.40018491703086,89.68361129192635,89.86938516702503,right,1.5,0,0,0.47097391600254923,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
73,0.5,2,89.87946570792701,,,,,89.86981416703202,89.87946570792701,90.36843537492678,90.36843537492678,90.36843537492678,90.66322408302221,90.93177329201717,right,2,1,1,0.5529946250608191,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
74,0.5,2,90.93892429198604,,,,,90.93222345795948,90.93892429198604,91.42967695801053,91.42967695801053,91.43372537498362,91.71718816703651,92.29886191699188,left,-2,1,1,0.856711458,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
