reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
91,143,3,36,36,0,l,4.278018917015288,None,0,36,36,20,286.31135541701224,,286.3042517090216,286.31135541701224,287.2971854589996,287.2971854589996,287.3062789590331,291.58054808399174,l,4.278018917015288,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
61,117,5,37,37,0,l,3.7180698339943774,None,0,37,37,28,291.5938597500208,,291.5872011250467,291.5938597500208,292.58076966699446,292.58076966699446,292.589269292017,296.3082887920318,l,3.7180698339943774,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
23,44,21,38,38,0,t,7.4486065420205705,None,0,38,38,48,296.32365945901256,,296.3156846250058,296.32365945901256,297.30631270899903,297.30631270899903,297.3123877500184,304.7583730840124,t,7.4486065420205705,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
89,139,7,39,39,0,t,16.03674733400112,None,0,39,39,32,304.7733600420179,,304.76529816701077,304.7733600420179,305.7564605420339,305.7564605420339,305.76244387502084,321.79819841700373,t,16.03674733400112,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
90,112,3,40,40,0,l,3.033118708000984,None,0,40,40,19,321.81249691703124,,321.8048013750231,321.81249691703124,322.7987364170258,322.7987364170258,322.8068680840079,325.84263812500285,l,3.033118708000984,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
44,74,90,41,41,0,t,2.266150416980963,None,0,41,41,65,325.85754812503,,325.84997662500245,325.85754812503,326.8408924170071,326.8408924170071,326.847413334006,329.10931720904773,t,2.266150416980963,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
51,92,3,42,42,0,l,10.003934834036045,None,0,42,42,16,329.1246197090368,,329.1171069589909,329.1246197090368,330.10728362499503,330.10728362499503,330.1133920419961,340.11541466700146,l,10.003934834036045,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
86,98,30,43,43,0,t,2.0903161260066554,None,0,43,43,57,340.12972279201495,,340.1221767090028,340.12972279201495,341.11507483402966,341.11507483402966,341.1245808750391,343.2095466250321,t,2.0903161260066554,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
81,115,30,44,44,0,t,4.62670037499629,None,0,44,44,56,343.22397604200523,,343.21636241703527,343.22397604200523,344.2076616670238,344.2076616670238,344.2134499170352,348.84322379203513,t,4.62670037499629,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
17,44,180,45,45,0,t,3.487690042005852,None,0,45,45,78,348.85802562499885,,348.85034779203124,348.85802562499885,349.841649042035,349.841649042035,349.8478146250127,353.3327991249971,t,3.487690042005852,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
56,68,21,46,46,0,t,2.4329413340310566,None,0,46,46,51,353.3465071670362,,353.3397573750117,353.3465071670362,354.3324461670127,354.3324461670127,354.3417619999964,356.7768665420008,t,2.4329413340310566,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
63,68,270,47,47,0,t,8.848964584001806,None,0,47,47,87,356.79136950004613,,356.7832381670014,356.79136950004613,357.7752269170014,357.7752269170014,357.7812480420107,366.62752787501086,t,8.848964584001806,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
77,87,210,48,48,0,t,2.6197245009825565,None,0,48,48,83,366.64401312504197,,366.63621391699417,366.64401312504197,367.625358334044,367.625358334044,367.6422128340346,370.2497179590282,t,2.6197245009825565,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
75,135,5,49,49,0,l,2.771176708978601,None,0,49,49,30,370.26238079200266,,370.2553085000254,370.26238079200266,371.24192245904123,371.24192245904123,371.2589995000162,374.0162055840483,l,2.771176708978601,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
45,53,365,50,50,0,t,6.479701792006381,None,0,50,50,98,374.02889395901,,374.02210891700815,374.02889395901,375.0160735840327,375.0160735840327,375.02575324999634,381.49988350004423,t,6.479701792006381,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
12,49,10,51,51,0,l,6.600298750039656,None,0,51,51,33,381.5131852090126,,381.5062617920339,381.5131852090126,382.50043591699796,382.50043591699796,382.5088296250324,389.11140200000955,l,6.600298750039656,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
61,99,5,52,52,0,t,2.6387005010037683,None,0,52,52,27,389.12692366703413,,389.11899562500184,389.12692366703413,390.1091326250462,390.1091326250462,390.12631091702497,392.7507591250469,t,2.6387005010037683,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
57,93,14,53,53,0,l,2.633041916997172,None,0,53,53,41,392.7636462500086,,392.7569060419919,392.7636462500086,393.75079412502237,393.75079412502237,393.75973741704365,396.3947793749976,l,2.633041916997172,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
